Root	Lemma	pLemma	Stem	pStem	POS	Enclitic	Proclitic
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كَ : ضمير المخاطب	#
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كَ : ضمير المخاطب	بِ : حرف الجر
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كَ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كَ : ضمير المخاطب	لَ : حرف الابتداء
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كَ : ضمير المخاطب	لِ : حرف الجر
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كَ : ضمير المخاطب	وَ : حرف الجر
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كَ : ضمير المخاطب	وَ : حرف العطف
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كَ : ضمير المخاطب	وَلَ : حرف العطف+حرف الابتداء
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كَ : ضمير المخاطب	وَلِ : حرف العطف+حرف الجر
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كِ : ضمير المخاطب	#
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كِ : ضمير المخاطب	بِ : حرف الجر
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كِ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كِ : ضمير المخاطب	لَ : حرف الابتداء
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كِ : ضمير المخاطب	لِ : حرف الجر
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كِ : ضمير المخاطب	وَ : حرف الجر
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كِ : ضمير المخاطب	وَ : حرف العطف
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كِ : ضمير المخاطب	وَلَ : حرف العطف+حرف الابتداء
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كِ : ضمير المخاطب	وَلِ : حرف العطف+حرف الجر
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كُمْ : ضمير المخاطبين	#
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كُمْ : ضمير المخاطبين	كَ : حرف الجر
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كُمْ : ضمير المخاطبين	لَ : حرف الابتداء
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كُمْ : ضمير المخاطبين	لِ : حرف الجر
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كُمْ : ضمير المخاطبين	وَ : حرف الجر
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كُمْ : ضمير المخاطبين	وَ : حرف العطف
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كُمَا : ضمير المخاطبين	#
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كُمَا : ضمير المخاطبين	وَ : حرف الجر
-	أُوْلَا	-	أُوْلَا	-	اسم|إشارة	كُمَا : ضمير المخاطبين	وَ : حرف العطف
-	أُولَاءِ	-	أُوْلَئ	-	اسم|إشارة	كَ : ضمير المخاطب	#
-	أُولَاءِ	-	أُوْلَئ	-	اسم|إشارة	كَ : ضمير المخاطب	أَوَ : همزة الاستفهام
-	أُولَاءِ	-	أُوْلَئ	-	اسم|إشارة	كَ : ضمير المخاطب	بِ : حرف الجر
-	أُولَاءِ	-	أُوْلَئ	-	اسم|إشارة	كَ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	أُولَاءِ	-	أُوْلَئ	-	اسم|إشارة	كَ : ضمير المخاطب	فَبِ : حرف العطف+حرف الجر
-	أُولَاءِ	-	أُوْلَئ	-	اسم|إشارة	كَ : ضمير المخاطب	فَلَ : حرف العطف+حرف الابتداء
-	أُولَاءِ	-	أُوْلَئ	-	اسم|إشارة	كَ : ضمير المخاطب	فَلِ : حرف العطف+حرف الجر
