Root	Lemma	pLemma	Stem	pStem	POS	Enclitic	Proclitic
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	#	#
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	#	أَ : همزة الاستفهام
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	#	أَفَ : همزة الاستفهام
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	#	أَوَ : همزة الاستفهام
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	#	فَ : حرف العطف أو الاستئناف
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	#	وَ : حرف العطف
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	كَ : ضمير المخاطب	#
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	كَ : ضمير المخاطب	أَ : همزة الاستفهام
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	كَ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	كَ : ضمير المخاطب	وَ : حرف العطف
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	كِ : ضمير المخاطب	#
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	كِ : ضمير المخاطب	أَ : همزة الاستفهام
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	كِ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	كِ : ضمير المخاطب	وَ : حرف العطف
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	كُمْ : ضمير المخاطبين	#
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	كُمَا : ضمير المخاطبين	#
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	كُنَّ : ضمير المخاطبات	#
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	نَا : ضمير المتكلمين	#
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	نَا : ضمير المتكلمين	وَ : حرف العطف
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	هُ : ضمير الغائب	#
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	هُ : ضمير الغائب	أَ : همزة الاستفهام
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	هُ : ضمير الغائب	فَ : حرف العطف أو الاستئناف
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	هُ : ضمير الغائب	وَ : حرف العطف
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	هَا : ضمير الغائبة	#
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	هَا : ضمير الغائبة	وَ : حرف العطف
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	هُمْ : ضمير الغائبين	#
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	هُمْ : ضمير الغائبين	وَ : حرف العطف
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	هُمَا : ضمير الغائبين	#
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	هُنَّ : ضمير الغائبات	#
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	ي : ضمير المتكلم	#
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	ي : ضمير المتكلم	أَ : همزة الاستفهام
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	ي : ضمير المتكلم	فَ : حرف العطف أو الاستئناف
-	إِلَّا	-	إِلَّا	-	اسم|استثناء	ي : ضمير المتكلم	وَ : حرف العطف
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	#	#
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	#	أَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	#	أَفَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	#	أَوَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	#	فَ : حرف العطف أو الاستئناف
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	#	وَ : حرف العطف
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كَ : ضمير المخاطب	#
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كَ : ضمير المخاطب	أَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كَ : ضمير المخاطب	أَوَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كَ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كَ : ضمير المخاطب	وَ : حرف العطف
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كِ : ضمير المخاطب	#
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كِ : ضمير المخاطب	أَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كِ : ضمير المخاطب	أَوَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كِ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كِ : ضمير المخاطب	وَ : حرف العطف
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كُمْ : ضمير المخاطبين	#
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كُمْ : ضمير المخاطبين	أَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كُمْ : ضمير المخاطبين	فَ : حرف العطف أو الاستئناف
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كُمْ : ضمير المخاطبين	وَ : حرف العطف
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كُمَا : ضمير المخاطبين	#
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كُمَا : ضمير المخاطبين	وَ : حرف العطف
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كُنَّ : ضمير المخاطبات	#
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	كُنَّ : ضمير المخاطبات	وَ : حرف العطف
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	نَا : ضمير المتكلمين	#
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	نَا : ضمير المتكلمين	أَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	نَا : ضمير المتكلمين	فَ : حرف العطف أو الاستئناف
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	نَا : ضمير المتكلمين	وَ : حرف العطف
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	هُ : ضمير الغائب	#
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	هُ : ضمير الغائب	أَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	هُ : ضمير الغائب	أَفَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	هُ : ضمير الغائب	أَوَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	هُ : ضمير الغائب	فَ : حرف العطف أو الاستئناف
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	هُ : ضمير الغائب	وَ : حرف العطف
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	هِ : ضمير الغائب	أَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	هِ : ضمير الغائب	أَفَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	هِ : ضمير الغائب	أَوَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	هَا : ضمير الغائبة	#
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	هَا : ضمير الغائبة	أَ : همزة الاستفهام
غير	غَيْرَ	-	غَيْر	-	اسم|استثناء	هَا : ضمير الغائبة	أَوَ : همزة الاستفهام
