Root	Lemma	pLemma	Stem	pStem	POS	Enclitic	Proclitic
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	#
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	أَ : همزة الاستفهام
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	أَبِ : همزة الاستفهام+حرف الجر
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	أَفَ : همزة الاستفهام
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	أَكَ : همزة الاستفهام+حرف الجر
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	أَلِ : همزة الاستفهام+حرف الجر
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	أَوَ : همزة الاستفهام
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	ال : التعريف
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	بِ : حرف الجر
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	بِال : حرف الجر+ال:التعريف
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	فَ : حرف العطف أو الاستئناف
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	فَال : حرف العطف+ال:التعريف
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	فَبِ : حرف العطف+حرف الجر
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	فَبِال : حرف العطف+حرف الجر+ال:التعريف
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	فَكَ : حرف العطف+حرف الجر
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	فَلَ : حرف العطف+حرف الابتداء
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	فَلِ : حرف العطف+حرف الجر
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	فَلِل : حرف العطف+حرف الجر+ال:التعريف
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	فَلَل : حرف العطف+لام التوكيد+ال:التعريف
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	فَوَ : حرف العطف+حرف:الجر
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	كَ : حرف الجر
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	كَال : حرف الجر+ال:التعريف
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	لَ : حرف الابتداء
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	لِ : حرف الجر
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	لَبِ : لام التوكيد+حرف الجر
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	لَكَ : لام التوكيد+حرف الجر
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	لِل : حرف الجر+ال:التعريف
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	لَل : لام التوكيد+ال:التعريف
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	لَلِ : لام التوكيد+حرف الجر
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	وَ : حرف الجر
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	وَ : حرف العطف
-	بَاء	-	بَاء	-	اسم|حرف هجاء|-|مفرد	#	وَال : حرف العطف+ال:التعريف
