Root	Lemma	pLemma	Stem	pStem	POS	Enclitic	Proclitic
-	أَنَّى	-	أَنَّى	-	اسم|استفهام	#	#
-	أَنَّى	-	أَنَّى	-	اسم|استفهام	#	أَ : همزة الاستفهام
-	أَنَّى	-	أَنَّى	-	اسم|استفهام	#	أَفَ : همزة الاستفهام
-	أَنَّى	-	أَنَّى	-	اسم|استفهام	#	أَوَ : همزة الاستفهام
-	أَنَّى	-	أَنَّى	-	اسم|استفهام	#	فَ : حرف العطف أو الاستئناف
-	أَنَّى	-	أَنَّى	-	اسم|استفهام	#	وَ : حرف العطف
-	أَيْنَ	-	أَيْن	-	اسم|استفهام	#	#
-	أَيْنَ	-	أَيْن	-	اسم|استفهام	#	أَ : همزة الاستفهام
-	أَيْنَ	-	أَيْن	-	اسم|استفهام	#	أَفَ : همزة الاستفهام
-	أَيْنَ	-	أَيْن	-	اسم|استفهام	#	أَوَ : همزة الاستفهام
-	أَيْنَ	-	أَيْن	-	اسم|استفهام	#	فَ : حرف العطف أو الاستئناف
-	أَيْنَ	-	أَيْن	-	اسم|استفهام	#	وَ : حرف العطف
-	أَيّ	-	أَيّ	-	اسم|استفهام	#	#
-	أَيّ	-	أَيّ	-	اسم|استفهام	#	أَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	#	أَفَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	#	أَوَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	#	فَ : حرف العطف أو الاستئناف
-	أَيّ	-	أَيّ	-	اسم|استفهام	#	وَ : حرف العطف
-	أَيّ	-	أَيّ	-	اسم|استفهام	كَ : ضمير المخاطب	#
-	أَيّ	-	أَيّ	-	اسم|استفهام	كَ : ضمير المخاطب	أَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	كَ : ضمير المخاطب	أَفَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	كَ : ضمير المخاطب	أَوَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	كَ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	أَيّ	-	أَيّ	-	اسم|استفهام	كَ : ضمير المخاطب	وَ : حرف العطف
-	أَيّ	-	أَيّ	-	اسم|استفهام	كِ : ضمير المخاطب	#
-	أَيّ	-	أَيّ	-	اسم|استفهام	كِ : ضمير المخاطب	أَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	كِ : ضمير المخاطب	أَفَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	كِ : ضمير المخاطب	أَوَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	كِ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	أَيّ	-	أَيّ	-	اسم|استفهام	كِ : ضمير المخاطب	وَ : حرف العطف
-	أَيّ	-	أَيّ	-	اسم|استفهام	كُمْ : ضمير المخاطبين	#
-	أَيّ	-	أَيّ	-	اسم|استفهام	كُمْ : ضمير المخاطبين	أَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	كُمْ : ضمير المخاطبين	فَ : حرف العطف أو الاستئناف
-	أَيّ	-	أَيّ	-	اسم|استفهام	كُمْ : ضمير المخاطبين	وَ : حرف العطف
-	أَيّ	-	أَيّ	-	اسم|استفهام	كُمَا : ضمير المخاطبين	#
-	أَيّ	-	أَيّ	-	اسم|استفهام	كُمَا : ضمير المخاطبين	فَ : حرف العطف أو الاستئناف
-	أَيّ	-	أَيّ	-	اسم|استفهام	كُمَا : ضمير المخاطبين	وَ : حرف العطف
-	أَيّ	-	أَيّ	-	اسم|استفهام	كُنَّ : ضمير المخاطبات	#
-	أَيّ	-	أَيّ	-	اسم|استفهام	كُنَّ : ضمير المخاطبات	أَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	كُنَّ : ضمير المخاطبات	فَ : حرف العطف أو الاستئناف
-	أَيّ	-	أَيّ	-	اسم|استفهام	كُنَّ : ضمير المخاطبات	وَ : حرف العطف
-	أَيّ	-	أَيّ	-	اسم|استفهام	نَا : ضمير المتكلمين	#
-	أَيّ	-	أَيّ	-	اسم|استفهام	نَا : ضمير المتكلمين	أَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	نَا : ضمير المتكلمين	فَ : حرف العطف أو الاستئناف
-	أَيّ	-	أَيّ	-	اسم|استفهام	نَا : ضمير المتكلمين	وَ : حرف العطف
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُ : ضمير الغائب	#
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُ : ضمير الغائب	أَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُ : ضمير الغائب	أَفَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُ : ضمير الغائب	أَوَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُ : ضمير الغائب	فَ : حرف العطف أو الاستئناف
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُ : ضمير الغائب	وَ : حرف العطف
-	أَيّ	-	أَيّ	-	اسم|استفهام	هَا : ضمير الغائبة	#
-	أَيّ	-	أَيّ	-	اسم|استفهام	هَا : ضمير الغائبة	أَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	هَا : ضمير الغائبة	فَ : حرف العطف أو الاستئناف
-	أَيّ	-	أَيّ	-	اسم|استفهام	هَا : ضمير الغائبة	وَ : حرف العطف
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُمْ : ضمير الغائبين	#
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُمْ : ضمير الغائبين	أَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُمْ : ضمير الغائبين	فَ : حرف العطف أو الاستئناف
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُمْ : ضمير الغائبين	وَ : حرف العطف
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُمَا : ضمير الغائبين	#
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُمَا : ضمير الغائبين	فَ : حرف العطف أو الاستئناف
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُمَا : ضمير الغائبين	وَ : حرف العطف
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُنَّ : ضمير الغائبات	#
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُنَّ : ضمير الغائبات	أَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُنَّ : ضمير الغائبات	فَ : حرف العطف أو الاستئناف
-	أَيّ	-	أَيّ	-	اسم|استفهام	هُنَّ : ضمير الغائبات	وَ : حرف العطف
-	أَيَّان	-	أَيَّان	-	اسم|استفهام	#	#
-	أَيَّان	-	أَيَّان	-	اسم|استفهام	#	أَ : همزة الاستفهام
-	أَيَّان	-	أَيَّان	-	اسم|استفهام	#	فَ : حرف العطف أو الاستئناف
-	أَيَّان	-	أَيَّان	-	اسم|استفهام	#	وَ : حرف العطف
-	أَيُّهَا	-	أَيَّتُهَا	-	اسم|استفهام	#	#
-	أَيُّهَا	-	أَيَّتُهَا	-	اسم|استفهام	#	فَ : حرف العطف أو الاستئناف
-	أَيُّهَا	-	أَيَّتُهَا	-	اسم|استفهام	#	وَ : حرف العطف
-	أَيُّهَا	-	أَيُّهَا	-	اسم|استفهام	#	#
-	أَيُّهَا	-	أَيُّهَا	-	اسم|استفهام	#	أَ : همزة الاستفهام
-	أَيُّهَا	-	أَيُّهَا	-	اسم|استفهام	#	فَ : حرف العطف أو الاستئناف
-	أَيُّهَا	-	أَيُّهَا	-	اسم|استفهام	#	وَ : حرف العطف
-	أَيُّهَا	-	أَيُّهَا	-	اسم|استفهام	كَ : ضمير المخاطب	#
-	أَيُّهَا	-	أَيُّهَا	-	اسم|استفهام	كِ : ضمير المخاطب	#
-	أَيُّهَا	-	أَيُّهَا	-	اسم|استفهام	نَا : ضمير المتكلمين	#
-	أَيُّهَا	-	أَيُّهَا	-	اسم|استفهام	هُ : ضمير الغائب	#
-	عَمَّ	-	عَمّ	-	اسم|استفهام	#	#
-	عَمَّ	-	عَمّ	-	اسم|استفهام	#	أَ : همزة الاستفهام
-	عَمَّ	-	عَمّ	-	اسم|استفهام	#	أَفَ : همزة الاستفهام
-	عَمَّ	-	عَمّ	-	اسم|استفهام	#	أَوَ : همزة الاستفهام
-	عَمَّ	-	عَمّ	-	اسم|استفهام	#	فَ : حرف العطف أو الاستئناف
-	عَمَّ	-	عَمّ	-	اسم|استفهام	#	وَ : حرف العطف
-	عَمَّ	-	عَمّ	-	اسم|استفهام	كَ : ضمير المخاطب	#
-	عَمَّ	-	عَمّ	-	اسم|استفهام	كَ : ضمير المخاطب	أَ : همزة الاستفهام
-	عَمَّ	-	عَمّ	-	اسم|استفهام	كَ : ضمير المخاطب	أَفَ : همزة الاستفهام
-	عَمَّ	-	عَمّ	-	اسم|استفهام	كَ : ضمير المخاطب	أَوَ : همزة الاستفهام
-	عَمَّ	-	عَمّ	-	اسم|استفهام	كَ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
