Root	Lemma	pLemma	Stem	pStem	POS	Enclitic	Proclitic
-	أَيْنَمَا	-	أَيْنَمَا	-	اسم|	#	#
-	أَيْنَمَا	-	أَيْنَمَا	-	اسم|	#	فَ : حرف العطف أو الاستئناف
-	أَيْنَمَا	-	أَيْنَمَا	-	اسم|	#	وَ : حرف العطف
-	حَمَا	-	حَمَا	-	اسم|	#	#
-	حَمَا	-	حَمَا	-	اسم|	#	أَ : همزة الاستفهام
-	حَمَا	-	حَمَا	-	اسم|	#	أَفَ : همزة الاستفهام
-	حَمَا	-	حَمَا	-	اسم|	#	أَوَ : همزة الاستفهام
-	حَمَا	-	حَمَا	-	اسم|	#	فَ : حرف العطف أو الاستئناف
-	حَمَا	-	حَمَا	-	اسم|	#	وَ : حرف العطف
-	حَمَا	-	حَمَا	-	اسم|	كَ : ضمير المخاطب	#
-	حَمَا	-	حَمَا	-	اسم|	كَ : ضمير المخاطب	أَ : همزة الاستفهام
-	حَمَا	-	حَمَا	-	اسم|	كَ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	حَمَا	-	حَمَا	-	اسم|	كَ : ضمير المخاطب	وَ : حرف العطف
-	حَمَا	-	حَمَا	-	اسم|	كِ : ضمير المخاطب	#
-	حَمَا	-	حَمَا	-	اسم|	كِ : ضمير المخاطب	أَ : همزة الاستفهام
-	حَمَا	-	حَمَا	-	اسم|	كِ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	حَمَا	-	حَمَا	-	اسم|	كِ : ضمير المخاطب	وَ : حرف العطف
-	حَمَا	-	حَمَا	-	اسم|	كُمْ : ضمير المخاطبين	#
-	حَمَا	-	حَمَا	-	اسم|	كُمْ : ضمير المخاطبين	فَ : حرف العطف أو الاستئناف
-	حَمَا	-	حَمَا	-	اسم|	كُمْ : ضمير المخاطبين	وَ : حرف العطف
-	حَمَا	-	حَمَا	-	اسم|	كُمَا : ضمير المخاطبين	#
-	حَمَا	-	حَمَا	-	اسم|	كُنَّ : ضمير المخاطبات	#
-	حَمَا	-	حَمَا	-	اسم|	كُنَّ : ضمير المخاطبات	وَ : حرف العطف
-	حَمَا	-	حَمَا	-	اسم|	نَا : ضمير المتكلمين	#
-	حَمَا	-	حَمَا	-	اسم|	نَا : ضمير المتكلمين	فَ : حرف العطف أو الاستئناف
-	حَمَا	-	حَمَا	-	اسم|	نَا : ضمير المتكلمين	وَ : حرف العطف
-	حَمَا	-	حَمَا	-	اسم|	هُ : ضمير الغائب	#
-	حَمَا	-	حَمَا	-	اسم|	هُ : ضمير الغائب	أَ : همزة الاستفهام
-	حَمَا	-	حَمَا	-	اسم|	هُ : ضمير الغائب	أَوَ : همزة الاستفهام
-	حَمَا	-	حَمَا	-	اسم|	هُ : ضمير الغائب	فَ : حرف العطف أو الاستئناف
-	حَمَا	-	حَمَا	-	اسم|	هُ : ضمير الغائب	وَ : حرف العطف
-	حَمَا	-	حَمَا	-	اسم|	هَا : ضمير الغائبة	#
-	حَمَا	-	حَمَا	-	اسم|	هَا : ضمير الغائبة	أَ : همزة الاستفهام
-	حَمَا	-	حَمَا	-	اسم|	هَا : ضمير الغائبة	فَ : حرف العطف أو الاستئناف
-	حَمَا	-	حَمَا	-	اسم|	هَا : ضمير الغائبة	وَ : حرف العطف
-	حَمَا	-	حَمَا	-	اسم|	هُمْ : ضمير الغائبين	#
-	حَمَا	-	حَمَا	-	اسم|	هُمْ : ضمير الغائبين	أَ : همزة الاستفهام
-	حَمَا	-	حَمَا	-	اسم|	هُمْ : ضمير الغائبين	فَ : حرف العطف أو الاستئناف
-	حَمَا	-	حَمَا	-	اسم|	هُمْ : ضمير الغائبين	وَ : حرف العطف
-	حَمَا	-	حَمَا	-	اسم|	هُمَا : ضمير الغائبين	#
-	حَمَا	-	حَمَا	-	اسم|	هُمَا : ضمير الغائبين	فَ : حرف العطف أو الاستئناف
-	حَمَا	-	حَمَا	-	اسم|	هُمَا : ضمير الغائبين	وَ : حرف العطف
-	حَمَا	-	حَمَا	-	اسم|	هُنَّ : ضمير الغائبات	#
-	حَمَا	-	حَمَا	-	اسم|	هُنَّ : ضمير الغائبات	وَ : حرف العطف
-	حَمُو	-	حَمُو	-	اسم|	#	#
-	حَمُو	-	حَمُو	-	اسم|	#	أَ : همزة الاستفهام
-	حَمُو	-	حَمُو	-	اسم|	#	أَفَ : همزة الاستفهام
-	حَمُو	-	حَمُو	-	اسم|	#	أَوَ : همزة الاستفهام
-	حَمُو	-	حَمُو	-	اسم|	#	فَ : حرف العطف أو الاستئناف
-	حَمُو	-	حَمُو	-	اسم|	#	وَ : حرف العطف
-	حَمِي	-	حَمِي	-	اسم|	#	#
-	حَمِي	-	حَمِي	-	اسم|	#	أَ : همزة الاستفهام
-	حَمِي	-	حَمِي	-	اسم|	#	أَفَ : همزة الاستفهام
-	حَمِي	-	حَمِي	-	اسم|	#	أَوَ : همزة الاستفهام
-	حَمِي	-	حَمِي	-	اسم|	#	فَ : حرف العطف أو الاستئناف
-	حَمِي	-	حَمِي	-	اسم|	#	وَ : حرف العطف
-	حَمِي	-	حَمِي	-	اسم|	كَ : ضمير المخاطب	#
-	حَمِي	-	حَمِي	-	اسم|	كَ : ضمير المخاطب	أَ : همزة الاستفهام
-	حَمِي	-	حَمِي	-	اسم|	كَ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	حَمِي	-	حَمِي	-	اسم|	كَ : ضمير المخاطب	وَ : حرف العطف
-	حَمِي	-	حَمِي	-	اسم|	كِ : ضمير المخاطب	#
-	حَمِي	-	حَمِي	-	اسم|	كِ : ضمير المخاطب	أَ : همزة الاستفهام
-	حَمِي	-	حَمِي	-	اسم|	كِ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	حَمِي	-	حَمِي	-	اسم|	كِ : ضمير المخاطب	وَ : حرف العطف
-	حَمِي	-	حَمِي	-	اسم|	كُمْ : ضمير المخاطبين	#
-	حَمِي	-	حَمِي	-	اسم|	كُمْ : ضمير المخاطبين	أَ : همزة الاستفهام
-	حَمِي	-	حَمِي	-	اسم|	كُنَّ : ضمير المخاطبات	#
-	حَمِي	-	حَمِي	-	اسم|	كُنَّ : ضمير المخاطبات	أَ : همزة الاستفهام
-	حَمِي	-	حَمِي	-	اسم|	نَا : ضمير المتكلمين	#
-	حَمِي	-	حَمِي	-	اسم|	نَا : ضمير المتكلمين	أَ : همزة الاستفهام
-	حَمِي	-	حَمِي	-	اسم|	نَا : ضمير المتكلمين	وَ : حرف العطف
-	حَمِي	-	حَمِي	-	اسم|	هِ : ضمير الغائب	#
-	حَمِي	-	حَمِي	-	اسم|	هِ : ضمير الغائب	أَ : همزة الاستفهام
-	حَمِي	-	حَمِي	-	اسم|	هِ : ضمير الغائب	فَ : حرف العطف أو الاستئناف
-	حَمِي	-	حَمِي	-	اسم|	هِ : ضمير الغائب	وَ : حرف العطف
-	حَمِي	-	حَمِي	-	اسم|	هَا : ضمير الغائبة	#
-	حَمِي	-	حَمِي	-	اسم|	هَا : ضمير الغائبة	أَ : همزة الاستفهام
-	حَمِي	-	حَمِي	-	اسم|	هَا : ضمير الغائبة	وَ : حرف العطف
-	حَمِي	-	حَمِي	-	اسم|	هِمْ : ضمير الغائبين	#
-	حَمِي	-	حَمِي	-	اسم|	هِمْ : ضمير الغائبين	أَ : همزة الاستفهام
-	حَمِي	-	حَمِي	-	اسم|	هِمْ : ضمير الغائبين	فَ : حرف العطف أو الاستئناف
-	حَمِي	-	حَمِي	-	اسم|	هِمْ : ضمير الغائبين	وَ : حرف العطف
-	حَمِي	-	حَمِي	-	اسم|	هِمَا : ضمير الغائبين	أَ : همزة الاستفهام
-	حَمِي	-	حَمِي	-	اسم|	هِنَّ : ضمير الغائبات	#
-	حَمِي	-	حَمِي	-	اسم|	هِنَّ : ضمير الغائبات	أَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	#	#
-	فَا	-	فَا	-	اسم|	#	أَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	#	أَفَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	#	أَوَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	#	فَ : حرف العطف أو الاستئناف
-	فَا	-	فَا	-	اسم|	#	وَ : حرف العطف
-	فَا	-	فَا	-	اسم|	كَ : ضمير المخاطب	#
-	فَا	-	فَا	-	اسم|	كَ : ضمير المخاطب	أَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	كَ : ضمير المخاطب	أَفَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	كَ : ضمير المخاطب	أَوَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	كَ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	فَا	-	فَا	-	اسم|	كَ : ضمير المخاطب	وَ : حرف العطف
-	فَا	-	فَا	-	اسم|	كِ : ضمير المخاطب	#
-	فَا	-	فَا	-	اسم|	كِ : ضمير المخاطب	أَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	كِ : ضمير المخاطب	أَفَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	كِ : ضمير المخاطب	أَوَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	كِ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	فَا	-	فَا	-	اسم|	كِ : ضمير المخاطب	وَ : حرف العطف
-	فَا	-	فَا	-	اسم|	كُمْ : ضمير المخاطبين	#
-	فَا	-	فَا	-	اسم|	كُمْ : ضمير المخاطبين	أَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	كُمْ : ضمير المخاطبين	أَوَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	كُمْ : ضمير المخاطبين	فَ : حرف العطف أو الاستئناف
-	فَا	-	فَا	-	اسم|	كُمْ : ضمير المخاطبين	وَ : حرف العطف
-	فَا	-	فَا	-	اسم|	كُمَا : ضمير المخاطبين	#
-	فَا	-	فَا	-	اسم|	كُمَا : ضمير المخاطبين	وَ : حرف العطف
-	فَا	-	فَا	-	اسم|	كُنَّ : ضمير المخاطبات	#
-	فَا	-	فَا	-	اسم|	كُنَّ : ضمير المخاطبات	أَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	كُنَّ : ضمير المخاطبات	فَ : حرف العطف أو الاستئناف
-	فَا	-	فَا	-	اسم|	كُنَّ : ضمير المخاطبات	وَ : حرف العطف
-	فَا	-	فَا	-	اسم|	نَا : ضمير المتكلمين	#
-	فَا	-	فَا	-	اسم|	نَا : ضمير المتكلمين	أَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	نَا : ضمير المتكلمين	أَوَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	نَا : ضمير المتكلمين	فَ : حرف العطف أو الاستئناف
-	فَا	-	فَا	-	اسم|	نَا : ضمير المتكلمين	وَ : حرف العطف
-	فَا	-	فَا	-	اسم|	هُ : ضمير الغائب	#
-	فَا	-	فَا	-	اسم|	هُ : ضمير الغائب	أَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	هُ : ضمير الغائب	أَفَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	هُ : ضمير الغائب	أَوَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	هُ : ضمير الغائب	فَ : حرف العطف أو الاستئناف
-	فَا	-	فَا	-	اسم|	هُ : ضمير الغائب	وَ : حرف العطف
-	فَا	-	فَا	-	اسم|	هَا : ضمير الغائبة	#
-	فَا	-	فَا	-	اسم|	هَا : ضمير الغائبة	أَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	هَا : ضمير الغائبة	أَوَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	هَا : ضمير الغائبة	فَ : حرف العطف أو الاستئناف
-	فَا	-	فَا	-	اسم|	هَا : ضمير الغائبة	وَ : حرف العطف
-	فَا	-	فَا	-	اسم|	هُمْ : ضمير الغائبين	#
-	فَا	-	فَا	-	اسم|	هُمْ : ضمير الغائبين	أَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	هُمْ : ضمير الغائبين	أَوَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	هُمْ : ضمير الغائبين	فَ : حرف العطف أو الاستئناف
-	فَا	-	فَا	-	اسم|	هُمْ : ضمير الغائبين	وَ : حرف العطف
-	فَا	-	فَا	-	اسم|	هُمَا : ضمير الغائبين	#
-	فَا	-	فَا	-	اسم|	هُمَا : ضمير الغائبين	أَوَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	هُمَا : ضمير الغائبين	وَ : حرف العطف
-	فَا	-	فَا	-	اسم|	هُنَّ : ضمير الغائبات	#
-	فَا	-	فَا	-	اسم|	هُنَّ : ضمير الغائبات	أَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	هُنَّ : ضمير الغائبات	أَوَ : همزة الاستفهام
-	فَا	-	فَا	-	اسم|	هُنَّ : ضمير الغائبات	فَ : حرف العطف أو الاستئناف
-	فَا	-	فَا	-	اسم|	هُنَّ : ضمير الغائبات	وَ : حرف العطف
-	فُو	-	فُو	-	اسم|	#	#
-	فُو	-	فُو	-	اسم|	#	أَ : همزة الاستفهام
-	فُو	-	فُو	-	اسم|	#	أَفَ : همزة الاستفهام
-	فُو	-	فُو	-	اسم|	#	أَوَ : همزة الاستفهام
-	فُو	-	فُو	-	اسم|	#	فَ : حرف العطف أو الاستئناف
-	فُو	-	فُو	-	اسم|	#	وَ : حرف العطف
-	فُو	-	فُو	-	اسم|	كَ : ضمير المخاطب	#
-	فُو	-	فُو	-	اسم|	كِ : ضمير المخاطب	#
-	فُو	-	فُو	-	اسم|	كُمْ : ضمير المخاطبين	#
-	فُو	-	فُو	-	اسم|	كُمَا : ضمير المخاطبين	#
