Root	Lemma	pLemma	Stem	pStem	POS	Enclitic	Proclitic
-	إِدْبَار	-	إِدْبَار	-	اسم|ظرف	#	#
-	إِدْبَار	-	إِدْبَار	-	اسم|ظرف	#	فَ : حرف العطف أو الاستئناف
-	إِدْبَار	-	إِدْبَار	-	اسم|ظرف	#	لَ : حرف الابتداء
-	إِدْبَار	-	إِدْبَار	-	اسم|ظرف	#	وَ : حرف العطف
-	إِدْبَار	-	إِدْبَار	-	اسم|ظرف	#	وَلَ : حرف العطف+حرف الابتداء
-	أَدْنَى	-	أَدْنَى	-	اسم|ظرف	#	#
-	أَدْنَى	-	أَدْنَى	-	اسم|ظرف	#	أَ : همزة الاستفهام
-	أَدْنَى	-	أَدْنَى	-	اسم|ظرف	#	أَوَ : همزة الاستفهام
-	أَدْنَى	-	أَدْنَى	-	اسم|ظرف	#	فَ : حرف العطف أو الاستئناف
-	أَدْنَى	-	أَدْنَى	-	اسم|ظرف	#	وَ : حرف العطف
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	#	#
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	#	أَ : همزة الاستفهام
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	#	أَوَ : همزة الاستفهام
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	#	فَ : حرف العطف أو الاستئناف
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	#	لَ : حرف الابتداء
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	#	وَ : حرف العطف
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	كَ : ضمير المخاطب	#
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	كَ : ضمير المخاطب	وَ : حرف العطف
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	كِ : ضمير المخاطب	#
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	كِ : ضمير المخاطب	وَ : حرف العطف
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	كُمْ : ضمير المخاطبين	#
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	نَا : ضمير المتكلمين	#
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	نَا : ضمير المتكلمين	وَ : حرف العطف
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	هُ : ضمير الغائب	#
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	هُ : ضمير الغائب	وَ : حرف العطف
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	هَا : ضمير الغائبة	#
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	هَا : ضمير الغائبة	وَ : حرف العطف
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	هُمْ : ضمير الغائبين	#
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	هُمْ : ضمير الغائبين	وَ : حرف العطف
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	هُمَا : ضمير الغائبين	#
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	هُمَا : ضمير الغائبين	وَ : حرف العطف
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	هُنَّ : ضمير الغائبات	#
-	إِزَاءَ	-	إِزَاء	-	اسم|ظرف	ي : ضمير المتكلم	#
-	أَسْبُوع	-	أَسْبُوع	-	اسم|ظرف	#	أَ : همزة الاستفهام
-	أَسْبُوع	-	أَسْبُوع	-	اسم|ظرف	#	فَ : حرف العطف أو الاستئناف
-	أَسْبُوع	-	أَسْبُوع	-	اسم|ظرف	#	فَلَ : حرف العطف+حرف الابتداء
-	أَسْبُوع	-	أَسْبُوع	-	اسم|ظرف	#	لَ : حرف الابتداء
-	أَسْبُوع	-	أَسْبُوع	-	اسم|ظرف	#	وَ : حرف العطف
-	أَسْبُوع	-	أَسْبُوع	-	اسم|ظرف	#	وَلَ : حرف العطف+حرف الابتداء
-	أَسْبُوع	-	أَسْبُوع	-	اسم|ظرف	كَ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	أَسْبُوع	-	أَسْبُوع	-	اسم|ظرف	كَ : ضمير المخاطب	لَ : حرف الابتداء
-	أَسْبُوع	-	أَسْبُوع	-	اسم|ظرف	كَ : ضمير المخاطب	وَ : حرف العطف
-	أَسْبُوع	-	أَسْبُوع	-	اسم|ظرف	كَ : ضمير المخاطب	وَلَ : حرف العطف+حرف الابتداء
-	أَسْبُوع	-	أَسْبُوع	-	اسم|ظرف	كِ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
