Root	Lemma	pLemma	Stem	pStem	POS	Enclitic	Proclitic
-	إِنْ	-	إِلَّا	-	اسم|شرط	#	#
-	إِنْ	-	إِلَّا	-	اسم|شرط	#	أَ : همزة الاستفهام
-	إِنْ	-	إِلَّا	-	اسم|شرط	#	أَفَ : همزة الاستفهام
-	إِنْ	-	إِلَّا	-	اسم|شرط	#	أَوَ : همزة الاستفهام
-	إِنْ	-	إِلَّا	-	اسم|شرط	#	فَ : حرف العطف أو الاستئناف
-	إِنْ	-	إِلَّا	-	اسم|شرط	#	وَ : حرف العطف
-	إِنْ	-	إِلَّا	-	اسم|شرط	كَ : ضمير المخاطب	#
-	إِنْ	-	إِلَّا	-	اسم|شرط	كَ : ضمير المخاطب	أَ : همزة الاستفهام
-	إِنْ	-	إِلَّا	-	اسم|شرط	كَ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	إِنْ	-	إِلَّا	-	اسم|شرط	كَ : ضمير المخاطب	وَ : حرف العطف
-	إِنْ	-	إِلَّا	-	اسم|شرط	كِ : ضمير المخاطب	#
-	إِنْ	-	إِلَّا	-	اسم|شرط	كِ : ضمير المخاطب	أَ : همزة الاستفهام
-	إِنْ	-	إِلَّا	-	اسم|شرط	كِ : ضمير المخاطب	فَ : حرف العطف أو الاستئناف
-	إِنْ	-	إِلَّا	-	اسم|شرط	كِ : ضمير المخاطب	وَ : حرف العطف
-	إِنْ	-	إِلَّا	-	اسم|شرط	كُمْ : ضمير المخاطبين	#
-	إِنْ	-	إِلَّا	-	اسم|شرط	كُمَا : ضمير المخاطبين	#
-	إِنْ	-	إِلَّا	-	اسم|شرط	كُنَّ : ضمير المخاطبات	#
-	إِنْ	-	إِلَّا	-	اسم|شرط	نَا : ضمير المتكلمين	#
-	إِنْ	-	إِلَّا	-	اسم|شرط	نَا : ضمير المتكلمين	وَ : حرف العطف
-	إِنْ	-	إِلَّا	-	اسم|شرط	هُ : ضمير الغائب	#
-	إِنْ	-	إِلَّا	-	اسم|شرط	هُ : ضمير الغائب	أَ : همزة الاستفهام
-	إِنْ	-	إِلَّا	-	اسم|شرط	هُ : ضمير الغائب	فَ : حرف العطف أو الاستئناف
-	إِنْ	-	إِلَّا	-	اسم|شرط	هُ : ضمير الغائب	وَ : حرف العطف
-	إِنْ	-	إِلَّا	-	اسم|شرط	هَا : ضمير الغائبة	#
-	إِنْ	-	إِلَّا	-	اسم|شرط	هَا : ضمير الغائبة	وَ : حرف العطف
-	إِنْ	-	إِلَّا	-	اسم|شرط	هُمْ : ضمير الغائبين	#
-	إِنْ	-	إِلَّا	-	اسم|شرط	هُمْ : ضمير الغائبين	وَ : حرف العطف
-	إِنْ	-	إِلَّا	-	اسم|شرط	هُمَا : ضمير الغائبين	#
-	إِنْ	-	إِلَّا	-	اسم|شرط	هُنَّ : ضمير الغائبات	#
-	إِنْ	-	إِلَّا	-	اسم|شرط	ي : ضمير المتكلم	#
-	إِنْ	-	إِلَّا	-	اسم|شرط	ي : ضمير المتكلم	أَ : همزة الاستفهام
-	إِنْ	-	إِلَّا	-	اسم|شرط	ي : ضمير المتكلم	فَ : حرف العطف أو الاستئناف
-	إِنْ	-	إِلَّا	-	اسم|شرط	ي : ضمير المتكلم	وَ : حرف العطف
-	أَنَّى	-	أَنَّى	-	اسم|شرط	#	#
-	أَنَّى	-	أَنَّى	-	اسم|شرط	#	أَ : همزة الاستفهام
-	أَنَّى	-	أَنَّى	-	اسم|شرط	#	أَفَ : همزة الاستفهام
-	أَنَّى	-	أَنَّى	-	اسم|شرط	#	أَوَ : همزة الاستفهام
-	أَنَّى	-	أَنَّى	-	اسم|شرط	#	فَ : حرف العطف أو الاستئناف
-	أَنَّى	-	أَنَّى	-	اسم|شرط	#	وَ : حرف العطف
-	أَيْنَ	-	أَيْن	-	اسم|شرط	#	#
-	أَيْنَ	-	أَيْن	-	اسم|شرط	#	أَ : همزة الاستفهام
-	أَيْنَ	-	أَيْن	-	اسم|شرط	#	أَفَ : همزة الاستفهام
-	أَيْنَ	-	أَيْن	-	اسم|شرط	#	أَوَ : همزة الاستفهام
-	أَيْنَ	-	أَيْن	-	اسم|شرط	#	فَ : حرف العطف أو الاستئناف
-	أَيْنَ	-	أَيْن	-	اسم|شرط	#	وَ : حرف العطف
-	أَيّ	-	أَيّ	-	اسم|شرط	#	#
-	أَيّ	-	أَيّ	-	اسم|شرط	#	أَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|شرط	#	أَبِ : همزة الاستفهام+حرف الجر
-	أَيّ	-	أَيّ	-	اسم|شرط	#	أَفَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|شرط	#	أَكَ : همزة الاستفهام+حرف الجر
-	أَيّ	-	أَيّ	-	اسم|شرط	#	أَلِ : همزة الاستفهام+حرف الجر
-	أَيّ	-	أَيّ	-	اسم|شرط	#	أَوَ : همزة الاستفهام
-	أَيّ	-	أَيّ	-	اسم|شرط	#	بِ : حرف الجر
