Root	Lemma	pLemma	Stem	pStem	POS	Enclitic	Proclitic
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	#
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	أَ : همزة الاستفهام
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	ال : التعريف
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	بِ : حرف الجر
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	فَ : حرف العطف أو الاستئناف
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	كَ : حرف الجر
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	لَ : حرف الابتداء
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	لِ : حرف الجر
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	لِل : حرف الجر+ال:التعريف
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	لَل : لام التوكيد+ال:التعريف
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	لَلِ : لام التوكيد+حرف الجر
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	وَ : حرف الجر
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	وَ : حرف العطف
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	وَال : حرف العطف+ال:التعريف
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	وَبِ : حرف العطف+حرف الجر
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	وَلَ : حرف العطف+حرف الابتداء
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	#	وَلِ : حرف العطف+حرف الجر
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	كَ : ضمير المخاطب	#
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	كِ : ضمير المخاطب	#
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	نَا : ضمير المتكلمين	#
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	نَا : ضمير المتكلمين	وَ : حرف الجر
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	نَا : ضمير المتكلمين	وَ : حرف العطف
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	هُ : ضمير الغائب	#
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	هَا : ضمير الغائبة	#
-	آسْيَا	-	آسْيَا	-	اسم|معربة|مذكر|مفرد	ي : ضمير المتكلم	#
-	إِفْرِيقْيَا	-	أَفْرِيقِيَا	-	اسم|معربة|مذكر|مفرد	#	#
-	إِفْرِيقْيَا	-	أَفْرِيقِيَا	-	اسم|معربة|مذكر|مفرد	#	ال : التعريف
-	إِفْرِيقْيَا	-	أَفْرِيقِيَا	-	اسم|معربة|مذكر|مفرد	#	فَ : حرف العطف أو الاستئناف
-	إِفْرِيقْيَا	-	أَفْرِيقِيَا	-	اسم|معربة|مذكر|مفرد	#	لَ : حرف الابتداء
-	إِفْرِيقْيَا	-	أَفْرِيقِيَا	-	اسم|معربة|مذكر|مفرد	#	لَل : لام التوكيد+ال:التعريف
-	إِفْرِيقْيَا	-	أَفْرِيقِيَا	-	اسم|معربة|مذكر|مفرد	#	وَ : حرف العطف
-	إِفْرِيقْيَا	-	أَفْرِيقِيَا	-	اسم|معربة|مذكر|مفرد	#	وَال : حرف العطف+ال:التعريف
-	إِفْرِيقْيَا	-	أَفْرِيقِيَا	-	اسم|معربة|مذكر|مفرد	#	وَلَ : حرف العطف+حرف الابتداء
-	إِفْرِيقْيَا	-	أَفْرِيقِيَا	-	اسم|معربة|مذكر|مفرد	كَ : ضمير المخاطب	#
-	إِفْرِيقْيَا	-	أَفْرِيقِيَا	-	اسم|معربة|مذكر|مفرد	كِ : ضمير المخاطب	#
-	إِفْرِيقْيَا	-	أَفْرِيقِيَا	-	اسم|معربة|مذكر|مفرد	كُمْ : ضمير المخاطبين	#
-	إِفْرِيقْيَا	-	أَفْرِيقِيَا	-	اسم|معربة|مذكر|مفرد	كُمَا : ضمير المخاطبين	#
