Root	Lemma	pLemma	Stem	pStem	POS	Enclitic	Proclitic
-	أَنَا	-	أَنَا	-	اسم|ضمير|المتكلم	#	#
-	أَنَا	-	أَنَا	-	اسم|ضمير|المتكلم	#	أَ : همزة الاستفهام
-	أَنَا	-	أَنَا	-	اسم|ضمير|المتكلم	#	أَفَ : همزة الاستفهام
-	أَنَا	-	أَنَا	-	اسم|ضمير|المتكلم	#	أَوَ : همزة الاستفهام
-	أَنَا	-	أَنَا	-	اسم|ضمير|المتكلم	#	فَ : حرف العطف أو الاستئناف
-	أَنَا	-	أَنَا	-	اسم|ضمير|المتكلم	#	فَلَ : حرف العطف+حرف الابتداء
-	أَنَا	-	أَنَا	-	اسم|ضمير|المتكلم	#	لَ : حرف الابتداء
-	أَنَا	-	أَنَا	-	اسم|ضمير|المتكلم	#	وَ : حرف العطف
-	أَنَا	-	أَنَا	-	اسم|ضمير|المتكلم	#	وَلَ : حرف العطف+حرف الابتداء
-	أَنْتَ	-	أَنْت	-	اسم|ضمير|المخاطب	#	#
-	أَنْتَ	-	أَنْت	-	اسم|ضمير|المخاطب	#	أَ : همزة الاستفهام
-	أَنْتَ	-	أَنْت	-	اسم|ضمير|المخاطب	#	أَفَ : همزة الاستفهام
-	أَنْتَ	-	أَنْت	-	اسم|ضمير|المخاطب	#	أَوَ : همزة الاستفهام
-	أَنْتَ	-	أَنْت	-	اسم|ضمير|المخاطب	#	فَ : حرف العطف أو الاستئناف
-	أَنْتَ	-	أَنْت	-	اسم|ضمير|المخاطب	#	فَلَ : حرف العطف+حرف الابتداء
-	أَنْتَ	-	أَنْت	-	اسم|ضمير|المخاطب	#	لَ : حرف الابتداء
-	أَنْتَ	-	أَنْت	-	اسم|ضمير|المخاطب	#	وَ : حرف العطف
-	أَنْتَ	-	أَنْت	-	اسم|ضمير|المخاطب	#	وَلَ : حرف العطف+حرف الابتداء
-	أَنْتَ	-	أَنْتُم	-	اسم|ضمير|المخاطب	#	#
-	أَنْتَ	-	أَنْتُم	-	اسم|ضمير|المخاطب	#	أَ : همزة الاستفهام
-	أَنْتَ	-	أَنْتُم	-	اسم|ضمير|المخاطب	#	أَفَ : همزة الاستفهام
-	أَنْتَ	-	أَنْتُم	-	اسم|ضمير|المخاطب	#	أَوَ : همزة الاستفهام
-	أَنْتَ	-	أَنْتُم	-	اسم|ضمير|المخاطب	#	فَ : حرف العطف أو الاستئناف
-	أَنْتَ	-	أَنْتُم	-	اسم|ضمير|المخاطب	#	فَلَ : حرف العطف+حرف الابتداء
-	أَنْتَ	-	أَنْتُم	-	اسم|ضمير|المخاطب	#	لَ : حرف الابتداء
-	أَنْتَ	-	أَنْتُم	-	اسم|ضمير|المخاطب	#	وَ : حرف العطف
-	أَنْتَ	-	أَنْتُم	-	اسم|ضمير|المخاطب	#	وَلَ : حرف العطف+حرف الابتداء
-	أَنْتَ	-	أَنْتُمَا	-	اسم|ضمير|المخاطب	#	#
-	أَنْتَ	-	أَنْتُمَا	-	اسم|ضمير|المخاطب	#	أَ : همزة الاستفهام
-	أَنْتَ	-	أَنْتُمَا	-	اسم|ضمير|المخاطب	#	أَفَ : همزة الاستفهام
-	أَنْتَ	-	أَنْتُمَا	-	اسم|ضمير|المخاطب	#	فَ : حرف العطف أو الاستئناف
-	أَنْتَ	-	أَنْتُمَا	-	اسم|ضمير|المخاطب	#	لَ : حرف الابتداء
-	أَنْتَ	-	أَنْتُمَا	-	اسم|ضمير|المخاطب	#	وَ : حرف العطف
-	أَنْتَ	-	أَنْتُنّ	-	اسم|ضمير|المخاطب	#	#
-	أَنْتَ	-	أَنْتُنّ	-	اسم|ضمير|المخاطب	#	أَ : همزة الاستفهام
-	أَنْتَ	-	أَنْتُنّ	-	اسم|ضمير|المخاطب	#	فَ : حرف العطف أو الاستئناف
-	أَنْتَ	-	أَنْتُنّ	-	اسم|ضمير|المخاطب	#	لَ : حرف الابتداء
-	أَنْتَ	-	أَنْتُنّ	-	اسم|ضمير|المخاطب	#	وَ : حرف العطف
-	إِيَّا	-	إِيَّاك	-	اسم|ضمير|المخاطب	#	#
-	إِيَّا	-	إِيَّاك	-	اسم|ضمير|المخاطب	#	أَ : همزة الاستفهام
-	إِيَّا	-	إِيَّاك	-	اسم|ضمير|المخاطب	#	فَ : حرف العطف أو الاستئناف
-	إِيَّا	-	إِيَّاك	-	اسم|ضمير|المخاطب	#	وَ : حرف العطف
-	إِيَّا	-	إِيَّاكُم	-	اسم|ضمير|المخاطب	#	#
-	إِيَّا	-	إِيَّاكُم	-	اسم|ضمير|المخاطب	#	فَ : حرف العطف أو الاستئناف
-	إِيَّا	-	إِيَّاكُم	-	اسم|ضمير|المخاطب	#	وَ : حرف العطف
-	إِيَّا	-	إِيَّاكُمَا	-	اسم|ضمير|المخاطب	#	#
-	إِيَّا	-	إِيَّاكُمَا	-	اسم|ضمير|المخاطب	#	فَ : حرف العطف أو الاستئناف
-	إِيَّا	-	إِيَّاكُمَا	-	اسم|ضمير|المخاطب	#	وَ : حرف العطف
-	إِيَّا	-	إِيَّاكُنّ	-	اسم|ضمير|المخاطب	#	#
-	إِيَّا	-	إِيَّاكُنّ	-	اسم|ضمير|المخاطب	#	فَ : حرف العطف أو الاستئناف
-	إِيَّا	-	إِيَّاكُنّ	-	اسم|ضمير|المخاطب	#	وَ : حرف العطف
-	إِيَّا	-	إِيَّانَا	-	اسم|ضمير|المتكلم	#	#
